TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
2.16,0.253158,0.250247,0.625641,0.797654,0.273126,0.155617
2.18,0.251368,0.248904,0.625496,0.79718,0.271038,0.158433
2.2,0.252311,0.249476,0.627617,0.798992,0.271899,0.161273
2.22,0.249901,0.247295,0.627847,0.799206,0.269148,0.164136
2.24,0.248149,0.246094,0.628323,0.799349,0.267108,0.167021
2.26,0.246159,0.245598,0.629354,0.800434,0.264814,0.16993
2.28,0.24487,0.243489,0.631116,0.802153,0.263277,0.172861
2.3,0.244214,0.244649,0.632641,0.803835,0.262422,0.175815
2.32,0.243329,0.243884,0.632967,0.803565,0.261324,0.178792
2.34,0.240639,0.241432,0.632913,0.803223,0.258287,0.181791
2.36,0.239745,0.239932,0.634354,0.804853,0.257182,0.184812
2.38,0.238553,0.238419,0.636483,0.807163,0.255759,0.187856
2.4,0.237655,0.238363,0.636609,0.806918,0.254653,0.190922
2.42,0.236325,0.239541,0.637529,0.8079,0.253086,0.19401
2.44,0.236228,0.239969,0.637176,0.807081,0.252841,0.197121
2.46,0.234227,0.241099,0.637936,0.807654,0.250559,0.200253
2.48,0.233917,0.238805,0.638014,0.807419,0.250089,0.203407
2.5,0.233694,0.236798,0.640562,0.809957,0.249713,0.206584
2.52,0.23307,0.238699,0.642865,0.812093,0.24891,0.209781
2.54,0.232594,0.237346,0.644883,0.813956,0.248266,0.213001
2.56,0.232339,0.238101,0.646527,0.815974,0.24786,0.216242
2.58,0.230887,0.23573,0.647929,0.817357,0.246178,0.219505
2.6,0.232168,0.234332,0.648941,0.818048,0.247412,0.222789
2.62,0.231235,0.23126,0.649886,0.818892,0.246288,0.226094
2.64,0.230872,0.229919,0.650957,0.819705,0.245771,0.229421
2.66,0.230694,0.229939,0.653047,0.82214,0.245453,0.232768
2.68,0.230829,0.228035,0.653967,0.823334,0.245469,0.236137
2.7,0.229621,0.225336,0.654853,0.823982,0.244058,0.239527
2.72,0.230121,0.225703,0.655886,0.824692,0.244465,0.242937
2.74,0.229436,0.22643,0.65726,0.825696,0.243613,0.246368
2.76,0.229752,0.223504,0.657431,0.825927,0.243825,0.24982
2.78,0.228326,0.221929,0.658097,0.826197,0.242191,0.253293
2.8,0.228226,0.221297,0.659497,0.827061,0.241964,0.256786
2.82,0.227302,0.21915,0.659777,0.82667,0.240865,0.260299
2.84,0.225593,0.217294,0.661752,0.82849,0.238935,0.263833
2.86,0.223978,0.216668,0.662927,0.829329,0.237108,0.267387
2.88,0.224603,0.215096,0.663976,0.830095,0.237652,0.27096
2.9,0.223585,0.215836,0.665465,0.831101,0.236459,0.274554
2.92,0.222055,0.21388,0.667149,0.83301,0.234728,0.278168
2.94,0.221766,0.214083,0.669344,0.835507,0.234308,0.281802
2.96,0.221498,0.21583,0.670196,0.835621,0.233912,0.285455
2.98,0.22195,0.213957,0.671761,0.836997,0.234278,0.289128
3,0.223455,0.215809,0.67443,0.839197,0.235755,0.29282
3.02,0.224743,0.217693,0.677157,0.841836,0.237004,0.296532
3.04,0.225028,0.217885,0.678295,0.842567,0.237197,0.300263
3.06,0.22374,0.219892,0.681514,0.845527,0.235732,0.304013
3.08,0.223704,0.218342,0.681541,0.844941,0.235586,0.307782
3.1,0.221988,0.21992,0.682583,0.845524,0.233674,0.31157
3.12,0.220337,0.218363,0.683732,0.846322,0.231833,0.315377
3.14,0.218809,0.219374,0.68394,0.845498,0.230121,0.319203
3.16,0.216604,0.218887,0.685404,0.846877,0.227699,0.323048
3.18,0.21506,0.217058,0.686079,0.847134,0.225975,0.326911
3.2,0.215998,0.217323,0.68844,0.848731,0.226859,0.330792
3.22,0.215629,0.218489,0.689962,0.850336,0.226372,0.334692
3.24,0.214001,0.218761,0.691022,0.851286,0.224563,0.33861
3.26,0.212742,0.219126,0.691778,0.85185,0.223144,0.342547
3.28,0.211908,0.216737,0.691968,0.851649,0.222173,0.346501
3.3,0.211907,0.217084,0.695033,0.854435,0.222076,0.350473
3.32,0.211204,0.218923,0.696414,0.855411,0.221243,0.354463
3.34,0.212117,0.21811,0.697786,0.856293,0.222105,0.358471
3.36,0.210796,0.216184,0.698599,0.856465,0.220628,0.362496
3.38,0.211591,0.215247,0.700991,0.858134,0.221366,0.366539
3.4,0.211792,0.216727,0.702779,0.859265,0.221486,0.370599
3.42,0.211106,0.217557,0.705173,0.861486,0.220677,0.374676
3.44,0.211274,0.215644,0.70769,0.863896,0.220762,0.378771
3.46,0.21207,0.216101,0.708746,0.864475,0.221505,0.382883
3.48,0.212993,0.215951,0.708672,0.863893,0.22238,0.387011
3.5,0.211253,0.216117,0.709266,0.863484,0.220476,0.391156
3.52,0.20932,0.216589,0.709109,0.862966,0.218372,0.395318
3.54,0.209472,0.214684,0.708285,0.861912,0.218444,0.399497
3.56,0.210789,0.215153,0.710086,0.863657,0.219732,0.403692
3.58,0.211483,0.214611,0.711715,0.865137,0.220371,0.407903
3.6,0.210084,0.215585,0.712519,0.864624,0.218829,0.412131
3.62,0.208804,0.215942,0.713744,0.865043,0.217414,0.416375
3.64,0.20857,0.218786,0.714665,0.8649,0.217088,0.420634
3.66,0.208083,0.217443,0.717205,0.866861,0.2165,0.42491
3.68,0.208379,0.218563,0.720386,0.869476,0.216727,0.429201
3.7,0.208436,0.217707,0.721926,0.870732,0.216707,0.433508
3.72,0.208723,0.219202,0.723778,0.871994,0.216926,0.437831
3.74,0.206323,0.220174,0.724472,0.872361,0.214354,0.442169
3.76,0.204688,0.220698,0.725021,0.872259,0.212579,0.446522
3.78,0.205631,0.221526,0.72634,0.87266,0.213481,0.450891
3.8,0.204263,0.219393,0.727938,0.874169,0.211985,0.455274
3.82,0.205371,0.21924,0.731363,0.877265,0.213059,0.459672
3.84,0.206025,0.220934,0.732293,0.877103,0.213663,0.464086
3.86,0.204821,0.222981,0.734513,0.878409,0.212341,0.468514
3.88,0.205411,0.22205,0.737285,0.881071,0.21288,0.472956
3.9,0.205307,0.223211,0.73843,0.881806,0.2127,0.477413
3.92,0.206442,0.223246,0.740593,0.883685,0.213803,0.481884
3.94,0.205998,0.221723,0.743347,0.886334,0.213273,0.48637
3.96,0.207086,0.22258,0.745229,0.888198,0.214328,0.490869
3.98,0.205565,0.220832,0.744932,0.88735,0.212685,0.495383
4,0.206263,0.218573,0.745913,0.888002,0.213338,0.49991
4.02,0.207526,0.219581,0.746247,0.887825,0.214576,0.504451
4.04,0.206021,0.219754,0.747863,0.888879,0.212952,0.509006
4.06,0.205471,0.219722,0.74829,0.888369,0.212317,0.513574
4.08,0.203677,0.220824,0.749904,0.888736,0.210398,0.518155
4.1,0.203885,0.221849,0.750751,0.889225,0.210546,0.52275
4.12,0.204691,0.22174,0.75426,0.891978,0.211314,0.527358
4.14,0.20489,0.220813,0.754751,0.89176,0.211455,0.531979
4.16,0.202962,0.219059,0.755138,0.891523,0.209402,0.536612
4.18,0.203653,0.218511,0.757243,0.892522,0.210051,0.541258
4.2,0.203599,0.219151,0.758126,0.892122,0.209933,0.545917
4.22,0.202953,0.22013,0.759504,0.893388,0.209205,0.550588
4.24,0.204165,0.221322,0.760936,0.893621,0.210393,0.555272
4.26,0.204984,0.223448,0.761749,0.894022,0.211176,0.559968
4.28,0.205659,0.225429,0.765498,0.897205,0.211811,0.564676
4.3,0.206007,0.22625,0.767129,0.898471,0.21211,0.569395
4.32,0.206005,0.226865,0.768249,0.898378,0.212049,0.574127
4.34,0.206351,0.225449,0.769835,0.899369,0.212347,0.57887
4.36,0.206507,0.224614,0.770332,0.899049,0.212449,0.583625
4.38,0.205612,0.224554,0.772091,0.900745,0.211472,0.588391
4.4,0.205183,0.225571,0.773153,0.900775,0.210973,0.593169
4.42,0.205155,0.223002,0.775266,0.902536,0.210889,0.597957
4.44,0.204965,0.224052,0.775083,0.901722,0.210637,0.602757
4.46,0.204826,0.221427,0.775552,0.90191,0.210439,0.607568
4.48,0.205027,0.220246,0.777079,0.903026,0.210592,0.612389
4.5,0.205852,0.222638,0.779692,0.904841,0.211385,0.617221
4.52,0.205893,0.223648,0.780854,0.905551,0.211374,0.622063
4.54,0.206422,0.221288,0.782763,0.907602,0.211864,0.626916
4.56,0.206159,0.224272,0.785551,0.909264,0.211541,0.631779
4.58,0.206568,0.225453,0.787872,0.911403,0.211908,0.636652
4.6,0.20765,0.226325,0.790853,0.913494,0.212967,0.641535
4.62,0.205612,0.225144,0.793957,0.915775,0.210827,0.646428
4.64,0.206368,0.222889,0.794809,0.916372,0.211551,0.651331
4.66,0.20509,0.221483,0.79381,0.915081,0.210191,0.656243
4.68,0.20426,0.221381,0.795995,0.917041,0.209291,0.661165
4.7,0.20282,0.221239,0.797688,0.918466,0.207766,0.666095
4.72,0.20115,0.223886,0.798511,0.917831,0.206007,0.671035
4.74,0.200263,0.22475,0.801495,0.920304,0.205051,0.675985
4.76,0.199954,0.223049,0.803011,0.92133,0.204688,0.680942
4.78,0.198056,0.224547,0.80629,0.924104,0.202697,0.685909
4.8,0.198439,0.226265,0.80577,0.922974,0.203043,0.690884
4.82,0.197659,0.225495,0.806236,0.922463,0.202198,0.695868
4.84,0.197116,0.225407,0.808133,0.924387,0.201598,0.70086
4.86,0.196935,0.22739,0.810484,0.925959,0.201367,0.705861
4.88,0.197498,0.227208,0.812078,0.927398,0.201898,0.710869
4.9,0.198407,0.225776,0.814418,0.929161,0.202783,0.715885
4.92,0.196608,0.228398,0.815125,0.928708,0.200901,0.720909
4.94,0.196335,0.229473,0.814855,0.927992,0.200578,0.725941
4.96,0.197581,0.231578,0.816919,0.929107,0.201808,0.73098
4.98,0.196654,0.234725,0.818462,0.929699,0.200819,0.736027
5,0.195999,0.234803,0.819614,0.930275,0.200107,0.741081
5.02,0.196586,0.234611,0.819894,0.930041,0.200665,0.746142
5.04,0.194839,0.234229,0.821426,0.930207,0.198841,0.75121
5.06,0.195342,0.234194,0.823496,0.932111,0.199314,0.756284
5.08,0.194448,0.232968,0.825819,0.933975,0.198361,0.761366
5.1,0.195608,0.233221,0.828411,0.936172,0.199504,0.766454
5.12,0.195786,0.233879,0.830853,0.938065,0.199646,0.771548
5.14,0.196512,0.231746,0.831784,0.938372,0.200347,0.776649
5.16,0.197981,0.231747,0.835409,0.941036,0.201805,0.781756
5.18,0.197856,0.230944,0.835643,0.940974,0.201639,0.786868
5.2,0.198969,0.231413,0.835338,0.940376,0.202735,0.791987
5.22,0.196997,0.230501,0.836444,0.940928,0.200689,0.797111
5.24,0.19753,0.22863,0.83696,0.940817,0.201195,0.802241
5.26,0.198468,0.230523,0.840172,0.943107,0.202113,0.807376
5.28,0.199909,0.228769,0.8424,0.945045,0.203543,0.812517
5.3,0.20067,0.229946,0.844354,0.946078,0.204283,0.817663
5.32,0.20156,0.23116,0.845124,0.945612,0.205153,0.822813
5.34,0.201066,0.228461,0.846351,0.946783,0.204614,0.827969
5.36,0.198956,0.229369,0.846031,0.945853,0.202432,0.833129
5.38,0.196838,0.228332,0.848041,0.946949,0.200243,0.838294
5.4,0.195969,0.227691,0.849451,0.947541,0.199325,0.843463
5.42,0.195603,0.226605,0.851088,0.948268,0.198918,0.848637
5.44,0.195937,0.226642,0.853837,0.949979,0.199224,0.853814
5.46,0.19367,0.225264,0.854194,0.950204,0.196885,0.858996
5.48,0.193918,0.223668,0.853685,0.949327,0.197105,0.864182
5.5,0.194631,0.222686,0.85277,0.948101,0.197796,0.869371
5.52,0.192468,0.220461,0.852523,0.947221,0.195566,0.874564
5.54,0.192282,0.220336,0.851618,0.946097,0.195345,0.87976
5.56,0.19231,0.221201,0.852849,0.946753,0.195342,0.88496
5.58,0.192395,0.21792,0.852992,0.946806,0.195397,0.890163
5.6,0.191001,0.220057,0.852527,0.945631,0.19395,0.895368
5.62,0.189822,0.223258,0.854476,0.946235,0.192723,0.900577
5.64,0.189839,0.224091,0.857663,0.948653,0.192709,0.905788
5.66,0.19065,0.22357,0.857621,0.948237,0.193502,0.911002
5.68,0.189613,0.224504,0.858641,0.947809,0.19242,0.916219
5.7,0.190723,0.223891,0.861207,0.949411,0.193517,0.921438
5.72,0.191802,0.227729,0.862696,0.949388,0.194582,0.926658
5.74,0.190983,0.227412,0.862453,0.948618,0.193723,0.931881
5.76,0.188297,0.22891,0.863218,0.948256,0.19097,0.937106
5.78,0.188011,0.22949,0.8648,0.949153,0.190652,0.942332
5.8,0.188055,0.229817,0.865455,0.94889,0.190669,0.94756
5.82,0.18883,0.229797,0.868,0.950769,0.191427,0.95279
5.84,0.186844,0.231456,0.870313,0.95271,0.189386,0.958021
5.86,0.185914,0.230888,0.872161,0.953629,0.188416,0.963253
5.88,0.185113,0.231197,0.875458,0.955921,0.187578,0.968486
5.9,0.186067,0.232166,0.875496,0.955484,0.188518,0.973719
5.92,0.187191,0.234137,0.878603,0.958048,0.18963,0.978954
5.94,0.186736,0.235403,0.881272,0.960047,0.189144,0.984189
5.96,0.187203,0.235815,0.883326,0.961527,0.189592,0.989425
5.98,0.185754,0.237413,0.883012,0.960395,0.188099,0.99466
6,0.186522,0.23636,0.884936,0.961522,0.188851,0.999896
6.02,0.185447,0.23684,0.88799,0.963948,0.187737,1.00513
6.04,0.18591,0.238194,0.889466,0.964789,0.188182,1.01037
6.06,0.185424,0.237318,0.890199,0.964402,0.187666,1.0156
6.08,0.183943,0.237505,0.892375,0.965925,0.186142,1.02084
6.1,0.183922,0.236509,0.894446,0.967512,0.186098,1.02607
6.12,0.185216,0.23822,0.895372,0.967491,0.187383,1.03131
6.14,0.185358,0.237583,0.897021,0.968447,0.187504,1.03654
6.16,0.185202,0.239728,0.897208,0.967566,0.187323,1.04177
6.18,0.184489,0.236092,0.898216,0.968616,0.186579,1.047
